title,platform,type,url,price
the lord of the rings: the return of the king,AppleTV,rent,https://tv.apple.com/gb/movie/the-lord-of-the-rings-the-return-of-the-king/umc.cmc.57s6i23z9ry0zsgwwc2mxjqi6?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A297709333,3.49
the lord of the rings: the return of the king,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/the-lord-of-the-rings-return-of-the-king,3.49
the lord of the rings: the return of the king,Sky Store,rent,https://www.skystore.com/product/the-lord-of-the-rings-the-return-of-the-king/ea08cf72-4321-4659-8f7c-f6f4c408536b,3.49
the lord of the rings: the return of the king,YouTube,rent,https://www.youtube.com/results?search_query=Lord+of+the+Rings%2C+The%3A+The+Return+of+the+King%2Bmovie,3.49
the lord of the rings: the return of the king,Windows Store,rent,https://www.microsoft.com/en-gb/p/The%20Lord%20of%20the%20Rings%20The%20Return%20of%20the%20King%20Extended%20Edition%20%20Bonus/8D6KGWXN8298,3.49
schindler's list,Sky Go,subscription,https://www.sky.com/watch/sky-go/all?uuid=72524c11-0430-4da3-8d3a-eb725972c270&videoId=A5EK6sKrAaye3EAaWZdUy,
schindler's list,Prime Video,subscription,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.1aa9f67c-efb7-fad3-0459-2f12e744dc25,
schindler's list,Netflix,subscription,https://www.netflix.com/title/60036359,
schindler's list,Now TV,subscription,https://www.nowtv.com/gb/watch/schindlers-list-1993/A5EK6sKrAaye3EAaWZdUy,
schindler's list,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.1aa9f67c-efb7-fad3-0459-2f12e744dc25,2.99
schindler's list,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/schindler-s-list,3.49
schindler's list,YouTube,rent,https://www.youtube.com/results?search_query=Schindler%27s+List%2Bmovie,3.49
schindler's list,AppleTV,rent,https://tv.apple.com/gb/movie/schindlers-list/umc.cmc.53hzoo3z0ufjb6wsxgspp2jlf?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A592806209,3.49
schindler's list,Sky Store,rent,https://www.skystore.com/product/schindlers-list/a7f03485-c2ce-4f07-ab96-ecc5fe21e89f,3.49
schindler's list,Windows Store,rent,https://www.microsoft.com/en-gb/p/Schindlers%20List/8D6KGWZL59GC,2.49
pulp fiction,Paramount Plus,subscription,https://www.paramountplus.com/movies/pulp-fiction/GliQztWneaDE_136OH3GxD5Q7SI0dfn0?searchReferral=,
pulp fiction,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.c0a9f668-f5f8-59b1-52d3-b71e0ef63842,3.49
pulp fiction,YouTube,rent,https://www.youtube.com/results?search_query=Pulp+fiction%2Bmovie,3.49
pulp fiction,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/pulp-fiction--2,3.49
pulp fiction,AppleTV,rent,https://tv.apple.com/gb/movie/pulp-fiction/umc.cmc.1hfvw2p79f9qdeydow8nmrn7t?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A1520283778,3.49
pulp fiction,Sky Store,rent,https://www.skystore.com/product/pulp-fiction/0aeb85aa-8ee5-436b-9c8d-8eaee479d5c1,3.49
the lord of the rings: the fellowship of the ring,Sky Go,subscription,https://www.sky.com/watch/sky-go/all?uuid=a2161592-f7f7-4abc-b0d0-fc7c831dc1ff&videoId=A5EK6sKrAaydCVZRHbdYy,
the lord of the rings: the fellowship of the ring,Now TV,subscription,https://www.nowtv.com/gb/watch/lord-of-the-rings-fellowship...-2001/A5EK6sKrAaydCVZRHbdYy,
the lord of the rings: the fellowship of the ring,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.84a9f6d5-bc3f-73a3-e41f-a82b4ff83e67,3.49
the lord of the rings: the fellowship of the ring,AppleTV,rent,https://tv.apple.com/gb/movie/the-lord-of-the-rings-the-fellowship-of-the-ring/umc.cmc.29au6l8rcr4g5zhuwcx0euri1?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A291360661,3.49
the lord of the rings: the fellowship of the ring,Sky Store,rent,https://www.skystore.com/product/the-lord-of-the-rings-the-fellowship-of-the-ring/1e98844f-e554-43d1-a0cb-f343a25d82e9,3.49
the lord of the rings: the fellowship of the ring,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/the-lord-of-the-rings-the-fellowship-of-the-ring-ae56b9d9-c0b1-43d5-bc75-726a53810703,3.49
the lord of the rings: the fellowship of the ring,Windows Store,rent,https://www.microsoft.com/en-gb/p/The%20Lord%20of%20The%20Rings%20The%20Fellowship%20of%20The%20Ring%20Extended%20Edition/8D6KGWZL5P11,3.49
"the good, the bad and the ugly",Prime Video,subscription,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.5c8dd8d1-f86a-45c0-83e3-1b5580ac0336,
"the good, the bad and the ugly",AppleTV,rent,https://tv.apple.com/gb/movie/the-good-the-bad-and-the-ugly/umc.cmc.7f1bwjagfxhm7uo4ra9nw59ad?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A270778212,3.49
"the good, the bad and the ugly",Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.5c8dd8d1-f86a-45c0-83e3-1b5580ac0336,3.49
"the good, the bad and the ugly",Sky Store,rent,https://www.skystore.com/product/the-good-the-bad-and-the-ugly/1411b19a-4a20-431a-8a19-83c8db95dac3,3.49
forrest gump,Sky Go,subscription,https://www.sky.com/watch/sky-go/all?uuid=226c8913-f33e-41ac-90cf-24f1870dc2b5&videoId=A5EK6sKrAaydPnnupLgfG,
forrest gump,Paramount Plus,subscription,https://www.paramountplus.com/movies/forrest-gump/ms2eMPRyXDpOLCITPSn8wW_7ZdQ6g9dV?searchReferral=,
forrest gump,Now TV,subscription,https://www.nowtv.com/gb/watch/forrest-gump-1994/A5EK6sKrAaydPnnupLgfG,
forrest gump,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.d2a9f65f-019a-dc2a-9f03-e9b342352bac,3.49
forrest gump,YouTube,rent,https://www.youtube.com/results?search_query=Forrest+Gump%2Bmovie,3.49
forrest gump,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/forrest-gump,3.49
forrest gump,AppleTV,rent,https://tv.apple.com/gb/movie/forrest-gump/umc.cmc.5ov9f55aw8qvmd5pumhgnwu3e?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A314029341,3.49
forrest gump,Sky Store,rent,https://www.skystore.com/product/forrest-gump/1be91f7e-444a-4485-b237-5dda4d11b5b9,3.49
forrest gump,Windows Store,rent,https://www.microsoft.com/en-gb/p/Forrest%20Gump/8D6KGWZL5VJ5,2.49
the lord of the rings: the two towers,Sky Go,subscription,https://www.sky.com/watch/sky-go/all?uuid=c5df45b9-b17e-4cca-8b75-66caae180285&videoId=A5EK6sKrAaydCVRaRfiZj,
the lord of the rings: the two towers,Now TV,subscription,https://www.nowtv.com/gb/watch/the-lord-of-the-rings-two-towers-2002/A5EK6sKrAaydCVRaRfiZj,
the lord of the rings: the two towers,AppleTV,rent,https://tv.apple.com/gb/movie/the-lord-of-the-rings-the-two-towers/umc.cmc.6vre5k3uptb2mrfml73kd9veg?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A297473704,3.49
the lord of the rings: the two towers,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.a2a9f6ce-d700-f70b-88bf-54f0968a48d5,3.49
the lord of the rings: the two towers,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/lord-of-the-rings-the-two-towers,3.49
the lord of the rings: the two towers,Sky Store,rent,https://www.skystore.com/product/the-lord-of-the-rings-the-two-towers/1fcd53fd-1c67-4ccc-82e5-4043fa381c39,3.49
the lord of the rings: the two towers,YouTube,rent,https://www.youtube.com/results?search_query=The+Lord+of+The+Rings%3A+The+Two+Towers%2Bmovie,3.49
the lord of the rings: the two towers,Windows Store,rent,https://www.microsoft.com/en-gb/p/The%20Lord%20of%20the%20Rings%20The%20Two%20Towers%20Extended%20Edition%20%20Bonus/8D6KGWXN8299,3.49
fight club,Disney+,subscription,https://www.disneyplus.com/movies/fight-club/38HCX4uW3BlA,
fight club,Prime Video,subscription,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.84aa074e-d217-477f-9242-3e62c961c14b,
fight club,AppleTV,rent,https://tv.apple.com/gb/movie/fight-club/umc.cmc.70dbl3043tb6ealg0u12k1pih?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A290531770,3.49
fight club,YouTube,rent,https://www.youtube.com/results?search_query=Fight+Club%2Bmovie,3.49
fight club,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/fight-club,3.45
fight club,Windows Store,rent,https://www.microsoft.com/en-gb/p/Fight%20Club/8D6KGWZL51GS,3.49
inception,Sky Go,subscription,https://www.sky.com/watch/sky-go/all?uuid=f01891f0-ebbc-44fd-9999-790dbb1985bb&videoId=A5EK6sKrAaydCVYQPoKG5,
inception,Now TV,subscription,https://www.nowtv.com/gb/watch/inception-2010/A5EK6sKrAaydCVYQPoKG5,
inception,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.5ca9f69c-796e-2320-e56f-f758fa5957b5,3.49
inception,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/inception,3.49
inception,AppleTV,rent,https://tv.apple.com/gb/movie/inception/umc.cmc.6loas01ow0w4lkatxxloz7a6e?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A400763833,3.49
inception,Sky Store,rent,https://www.skystore.com/product/inception/3aff609f-a09c-49a8-8db5-06710c72200f,3.49
inception,YouTube,rent,https://www.youtube.com/results?search_query=Inception%2Bmovie,3.49
inception,Windows Store,rent,https://www.microsoft.com/en-gb/p/Inception%20plus%20Bonus%20Features/8D6KGWZL5B2V,3.49
the matrix,AppleTV,rent,https://tv.apple.com/gb/movie/the-matrix-resurrections/umc.cmc.1xfut1sq2hvb9faupyabxog7q?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A1595166379,3.49
the matrix,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.ce45d541-0e80-4e78-9795-abe11421bb4d,3.49
the matrix,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/the-matrix-resurrections,3.49
the matrix,Sky Store,rent,https://www.skystore.com/product/the-matrix-resurrections/28b26544-d98f-4212-976a-8957669a02dc,3.49
the matrix,Windows Store,rent,https://www.microsoft.com/en-gb/p/The%20Matrix%20Resurrections/8D6KGWXN5RLR,3.49
goodfellas,Sky Go,subscription,https://www.sky.com/watch/sky-go/all?uuid=4d017878-0464-4834-bf5b-58ba195c6b90&videoId=A5EK6sKrAaydCVXHo5sgj,
goodfellas,Now TV,subscription,https://www.nowtv.com/gb/watch/goodfellas-1991/A5EK6sKrAaydCVXHo5sgj,
goodfellas,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.22b54975-4ebc-89e2-1119-043fa3406660,3.49
goodfellas,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/goodfellas,3.49
goodfellas,AppleTV,rent,https://tv.apple.com/gb/movie/goodfellas/umc.cmc.77gvldp7rsv3dl2s6iec16srm?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A275463151,3.49
goodfellas,Sky Store,rent,https://www.skystore.com/product/goodfellas/9411251d-6748-4d8d-939b-5fa66a2c741f,3.49
goodfellas,YouTube,rent,https://www.youtube.com/results?search_query=Goodfellas%2Bmovie,3.49
goodfellas,Windows Store,rent,https://www.microsoft.com/en-gb/p/Goodfellas%20Remastered%20Special%20Edition/8D6KGWZL523Z,3.49
interstellar,Sky Go,subscription,https://www.sky.com/watch/sky-go/all?uuid=856afa9c-5dc7-47e0-a4b4-71425eedc1b1&videoId=A5EK6sKrAaydCVWzWL9Qy,
interstellar,Now TV,subscription,https://www.nowtv.com/gb/watch/interstellar-2014/A5EK6sKrAaydCVWzWL9Qy,
