rank,title,release_year,duration,rate_type,star_rating,vote_count,transformed_title
127, Dangal,2016,2h 41m,PG,8.3, (228K),dangal
128, The Wolf of Wall Street,2013,3h,18,8.2, (1.7M),the wolf of wall street
129, Hamilton,2020,2h 40m,12,8.3, (129K),hamilton
130, Taxi Driver,1976,1h 54m,18,8.2, (985K),taxi driver
131, Green Book,2018,2h 10m,12A,8.2, (642K),green book
132, Batman Begins,2005,2h 20m,12A,8.2, (1.7M),batman begins
133, The Truman Show,1998,1h 43m,PG,8.2, (1.3M),the truman show
134, For a Few Dollars More,1965,2h 12m,15,8.2, (290K),for a few dollars more
135, Judgment at Nuremberg,1961,2h 59m,A,8.3, (92K),judgment at nuremberg
136, Some Like It Hot,1959,2h 1m,A,8.2, (297K),some like it hot
137, Shutter Island,2010,2h 18m,15,8.2, (1.6M),shutter island
138, The Kid,1921,1h 8m,U,8.2, (142K),the kid
139, The Father,2020,1h 37m,12A,8.2, (216K),the father
140, Jurassic Park,1993,2h 7m,PG,8.2, (1.1M),jurassic park
141, All About Eve,1950,2h 18m,A,8.2, (146K),all about eve
142, There Will Be Blood,2007,2h 38m,12A,8.2, (675K),there will be blood
143, The Sixth Sense,1999,1h 47m,15,8.2, (1.1M),the sixth sense
144, Ran,1985,2h 40m,15,8.2, (145K),ran
145, Casino,1995,2h 58m,18,8.2, (596K),casino
146, Top Gun: Maverick,2022,2h 10m,12A,8.2, (787K),top gun: maverick
147, No Country for Old Men,2007,2h 2m,15,8.2, (1.1M),no country for old men
148, The Thing,1982,1h 49m,X,8.2, (502K),the thing
149, Unforgiven,1992,2h 10m,15,8.2, (457K),unforgiven
150, Pan's Labyrinth,2006,1h 58m,15,8.2, (728K),pan's labyrinth
151, Kill Bill: Vol. 1,2003,1h 51m,18,8.2, (1.3M),kill bill: vol. 1
152, A Beautiful Mind,2001,2h 15m,12,8.2, (1M),a beautiful mind
153, Prisoners,2013,2h 33m,15,8.2, (880K),prisoners
154, The Treasure of the Sierra Madre,1948,2h 6m,A,8.2, (138K),the treasure of the sierra madre
155, Yojimbo,1961,1h 50m,A,8.2, (139K),yojimbo
156, Finding Nemo,2003,1h 40m,U,8.2, (1.2M),finding nemo
157, Howl's Moving Castle,2004,1h 59m,U,8.2, (487K),howl's moving castle
